Name,Image URLs,Front,Back,Text,Cost,Defense,Level,Faction,Type,Role,Set Name,Set Qty,Artist
"Arkus, Imperial Dragon",https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-001-arkus-imperial-dragon.jpg,,,"Expend:
Gain 5 Combat.
Draw a card. <hr> Imperial:
Gain 6 Health.",8,Guard 6,,Imperial,Champion ◆ Dragon,Market Deck,Base Set,1,Johnny Morrow
Close Ranks,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-002-close-ranks.jpg,,,"Gain 5 Combat.
+2 Combat for each champion you have in play. <hr> Imperial:
Gain 6 Health.",3,,,Imperial,Action,Market Deck,Base Set,1,Apsara
Command,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-003-command.jpg,,,"Gain 2 Gold. Gain 3 Combat. Gain 4 Health.
Draw a card. <hr> <i>""Follow me!""</i>",5,,,Imperial,Action,Market Deck,Base Set,1,Antonis Papantoniou
"Darian, War Mage",https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-004-darian-war-mage.jpg,,,"Expend:
Gain 3 Combat. <i>or</i> Gain 4 Health. <hr> <i>The orcs mocked the man’s gibberish at first, but they soon learned to respect Dragontongue.</i>",4,5,,Imperial,Champion ◆ Human Mage,Market Deck,Base Set,1,Hannes Radke
Domination,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-005-domination.jpg,,,"Gain 6 Combat. Gain 6 Health.
Draw a card. <hr> Imperial:
Prepare a champion.",7,,,Imperial,Action,Market Deck,Base Set,1,Antonis Papantoniou
"Cristov, the Just",https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-006-cristov-the-just.jpg,,,"Expend:
Gain 2 Combat. Gain 3 Health. <hr> Imperial:
Draw a card.",5,Guard 5,,Imperial,Champion ◆ Human Paladin,Market Deck,Base Set,1,Ina Wong
"Kraka, High Priest",https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-007-kraka-high-priest.jpg,,,"Expend:
Gain 2 Health.
Draw a card. <hr> Imperial:
Gain 2 Health for each champion you have in play.",6,6,,Imperial,Champion ◆ Human Priest,Market Deck,Base Set,1,Richard Hanuschek
Man-at-Arms,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-008-man-at-arms.jpg,,,"Expend:
Gain 2 Combat.
+1 Combat for each other guard you have in play.",3,Guard 4,,Imperial,Champion ◆ Human Warrior,Market Deck,Base Set,2,Richard Hanuschek
Master Weyan,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-010-master-weyan.jpg,,,"Expend:
Gain 3 Combat.
+1 Combat for each other champion you have in play.",4,Guard 4,,Imperial,Champion ◆ Human Monk,Market Deck,Base Set,1,Simon Aan
Rally the Troops,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-011-rally-the-troops.jpg,,,"Gain 5 Combat. Gain 5 Health. <hr> Imperial:
Prepare a champion.",4,,,Imperial,Action,Market Deck,Base Set,1,Johnny Morrow
Recruit,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-012-recruit.jpg,,,"Gain 2 Gold. Gain 3 Health.
+1 Health for each champion you have in play. <hr> Imperial:
Gain 1 Gold.",2,,,Imperial,Action,Market Deck,Base Set,3,Johnny Morrow
Tithe Priest,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-015-tithe-priest.jpg,,,"Expend:
Gain 1 Gold.
<i>or</i>
Gain 1 Health for each champion you have in play.",2,3,,Imperial,Champion ◆ Human Priest,Market Deck,Base Set,2,Trevor Smith
Taxation,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-017-taxation.jpg,,,"Gain 2 Gold. <hr> Imperial:
Gain 6 Health.",1,,,Imperial,Action,Market Deck,Base Set,3,Dylan Stafford
Word of Power,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-020-word-of-power.jpg,,,"Draw two cards. <hr> Imperial:
Gain 5 Health. <hr> Sacrifice:
Gain 5 Combat.",6,,,Imperial,Action ◆ Spell,Market Deck,Base Set,1,Johnny Morrow
"Borg, Ogre Mercenary",https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-021-borg-ogre-mercenary.jpg,,,"Expend:
Gain 4 Combat. <hr> <i>Ogres and the Guild have a shared respect for money and violence.</i>",6,Guard 6,,Guild,Champion ◆ Ogre Warrior,Market Deck,Base Set,1,L. Sean
Bribe,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-022-bribe.jpg,,,"Gain 3 Gold. <hr> Guild:
Put the next action you acquire this turn on top of your deck.",3,,,Guild,Action,Market Deck,Base Set,3,Souveraine
Death Threat,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-025-death-threat.jpg,,,"Gain 1 Combat.
Draw a card. <hr> Guild:
Stun target champion.",3,,,Guild,Action ◆ Assassin,Market Deck,Base Set,1,L. Sean
Deception,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-026-deception.jpg,,,"Gain 2 Gold.
Draw a card. <hr> Guild:
Put the next card you acquire this turn into your hand.",5,,,Guild,Action,Market Deck,Base Set,1,Souveraine
Fire Bomb,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-027-fire-bomb.jpg,,,"Gain 8 Combat.
Stun target champion. Draw a card. <hr> Sacrifice:
Gain 5 Combat.",8,,,Guild,Action,Market Deck,Base Set,1,Johnny Morrow
Hit Job,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-028-hit-job.jpg,,,"Gain 7 Combat. <hr> Guild:
Stun target champion.",4,,,Guild,Action ◆ Assassin,Market Deck,Base Set,1,Richard Hanuschek
Intimidation,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-029-intimidation.jpg,,,"Gain 5 Combat. <hr> Guild:
Gain 2 Gold.",2,,,Guild,Action ◆ Rogue,Market Deck,Base Set,2,Johnny Morrow
"Myros, Guild Mage",https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-031-myros-guild-mage.jpg,,,"Expend:
Gain 3 Gold. <hr> Guild:
Gain 4 Combat.",5,Guard 3,,Guild,Champion ◆ Human Mage,Market Deck,Base Set,1,Simon Aan
"Parov, the Enforcer",https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-032-parov-the-enforcer.jpg,,,"Expend:
Gain 3 Combat. <hr> Guild:
Draw a card.",5,Guard 5,,Guild,Champion ◆ Human Rogue,Market Deck,Base Set,1,Gialer Liew
Profit,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-033-profit.jpg,,,"Gain 2 Gold. <hr> Guild:
Gain 4 Combat.",1,,,Guild,Action,Market Deck,Base Set,3,L. Sean
"Rake, Master Assassin",https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-036-rake-master-assassin.jpg,,,"Expend:
Gain 4 Combat.
You may stun target champion. <hr> <i>His name keeps men of power awake at night.</i>",7,7,,Guild,Champion ◆ Human Assassin,Market Deck,Base Set,1,Ina Wong
"Rasmus, the Smuggler",https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-037-rasmus-the-smuggler.jpg,,,"Expend:
Gain 2 Gold. <hr> Guild:
Put the next card you acquire this turn on top of your deck.",4,5,,Guild,Champion ◆ Human Rogue,Market Deck,Base Set,1,Simon Aan
Smash and Grab,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-038-smash-and-grab.jpg,,,"Gain 6 Combat.
You may put a card from your discard pile on top of your deck.",6,,,Guild,Action ◆ Rogue,Market Deck,Base Set,1,L. Sean
Street Thug,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-039-street-thug.jpg,,,"Expend:
Gain 1 Gold. <i>or</i> Gain 2 Combat. <hr> <i>“Give me your gold, or I’ll give you my knife.”</i>",3,4,,Guild,Champion ◆ Human Rogue,Market Deck,Base Set,2,Dylan Safford
Cult Priest,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-041-cult-priest.jpg,,,"Expend:
Gain 1 Gold. <i>or</i> Gain 1 Combat. <hr> Necros:
Gain 4 Combat.",3,4,,Necros,Champion ◆ Human,Market Deck,Base Set,2,Antonis Papantoniou
Dark Energy,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-043-dark-energy.jpg,,,"Gain 7 Combat. <hr> Necros:
Draw a card.",4,,,Necros,Action ◆ Spell,Market Deck,Base Set,1,Souveraine
Dark Reward,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-044-dark-reward.jpg,,,"Gain 3 Gold.
You may sacrifice a card in your hand or discard pile. <hr> Necros:
Gain 6 Combat.",5,,,Necros,Action,Market Deck,Base Set,1,Trevor Smith
Death Cultist,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-045-death-cultist.jpg,,,"Expend:
Gain 2 Combat. <hr> <i>They live for death.</i>",2,Guard 3,,Necros,Champion ◆ Human,Market Deck,Base Set,2,Johnny Morrow
Death Touch,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-047-death-touch.jpg,,,"Gain 2 Combat.
You may sacrifice a card in your hand or discard pile. <hr> Necros:
Gain 2 Combat.",1,,,Necros,Action ◆ Curse,Market Deck,Base Set,3,Antonis Papantoniou
"Rayla, Endweaver",https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-050-rayla-endweaver.jpg,,,"Expend:
Gain 3 Combat. <hr> Necros:
Draw a card.",4,4,,Necros,Champion ◆ Human Mage,Market Deck,Base Set,1,Dimas Pamungkas
Influence,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-051-influence.jpg,,,"Gain 3 Gold. <hr> Sacrifice:
Gain 3 Combat.",2,,,Necros,Action,Market Deck,Base Set,3,Dimas Pamungkas
"Krythos, Master Vampire",https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-054-krythos-master-vampire.jpg,,,"Expend:
Gain 3 Combat.
You may sacrifice a card in your hand or discard pile.
If you do, gain an additional 3 Combat.",7,6,,Necros,Champion ◆ Vampire,Market Deck,Base Set,1,Apsara
Life Drain,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-055-life-drain.jpg,,,"Gain 8 Combat.
You may sacrifice a card in your hand or discard pile. <hr> Necros:
Draw a card.",6,,,Necros,Action ◆ Curse,Market Deck,Base Set,1,Antonis Papantoniou
"Lys, the Unseen",https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-056-lys-the-unseen.jpg,,,"Expend:
Gain 2 Combat.
You may sacrifice a card in your hand or discard pile.
If you do, gain an additional 2 Combat.",6,Guard 5,,Necros,Champion ◆ Vampire,Market Deck,Base Set,1,L. Sean
The Rot,https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-057-the-rot.jpg,,,"Gain 4 Combat.
You may sacrifice a card in your hand or discard pile. <hr> Necros:
Gain 3 Combat.",3,,,Necros,Action ◆ Curse,Market Deck,Base Set,2,Antonis Papantoniou
"Tyrannor, the Devourer",https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-059-tyrannor-the-devourer.jpg,,,"Expend:
Gain 4 Combat.
may sacrifice up to two cards in your hand and/or discard pile. <hr> Necros:
Draw a card.",8,Guard 6,,Necros,Champion ◆ Demon,Market Deck,Base Set,1,Bramasta Aji
"Varrick, the Necromancer",https://www.herorealms.com/wp-content/uploads/2017/09/BAS-EN-060-varrick-the-necromancer.jpg,,,"Expend:
Take a champion from your discard pile and put it on top of your deck. <hr> Necros:
Draw a card.",5,3,,Necros,Champion ◆ Human Necromancer,Market Deck,Base Set,1,Ina Wong
